Project_ID,Location,Room_Type,Room_Area,Floor_Type,Ceiling_Type,Wall_Finish,Lighting_Preference,Budget_Range,Total_Cost,Project_Type,Design_Type
38,"https://maps.google.com/?q=-5.514802147462348,-76.94037388786104",balcony,3185,tile,tray,tiles,chandelier,medium,210663,,modern
39,"https://maps.google.com/?q=-89.73934209404736,143.25059940091057",playroom,3800,tile,tray,tiles,daylight,medium,93335,residential,
40,"https://maps.google.com/?q=-73.73628189627183,-39.42424567474379",balcony,4799,marble,tray,wood paneling,pendant,high,111667,commercial,
41,"https://maps.google.com/?q=-83.57553490588043,-171.05704350456838",kitchen,1010,laminate,custom,stone cladding,recessed,medium,516204,industrial,
42,"https://maps.google.com/?q=26.744666944366244,36.538607258959985",garage,3432,vinyl,vaulted,paint,pendant,medium,454298,,minimalist
43,"https://maps.google.com/?q=-68.33712847969595,66.51403379589442",living room,1701,marble,vaulted,paint,chandelier,low,480528,,scandinavian
44,"https://maps.google.com/?q=76.71301163578744,-108.29872948937788",kitchen,611,laminate,tray,tiles,daylight,medium,198590,commercial,
45,"https://maps.google.com/?q=75.08820450377635,144.35358271427293",playroom,3784,laminate,tray,paint,pendant,luxury,426495,infrastructure,
46,"https://maps.google.com/?q=75.37932971127853,162.70887351193034",garage,3119,concrete,flat,stone cladding,daylight,luxury,348485,commercial,
47,"https://maps.google.com/?q=-54.45674313423241,-157.22966183261997",playroom,3083,concrete,custom,wallpaper,chandelier,medium,539648,landscaping,
48,"https://maps.google.com/?q=60.3708336151482,4.340996372745195",laundry room,2527,laminate,custom,tiles,recessed,luxury,288539,,minimalist
49,"https://maps.google.com/?q=76.861487241757,22.42007354208033",shop,2669,marble,tray,stone cladding,recessed,medium,126680,infrastructure,
50,"https://maps.google.com/?q=60.956757063088276,-88.37014622903675",garage,4050,wooden,custom,paint,pendant,luxury,494393,renovation,
51,"https://maps.google.com/?q=-43.30359594041891,73.64836636560531",entryway,4790,laminate,beam,paint,recessed,medium,488313,,contemporary
52,"https://maps.google.com/?q=-66.4195160158426,156.72689848916542",garage,3658,wooden,beam,wallpaper,cool white,low,517261,,arabic
53,"https://maps.google.com/?q=-76.3078006201263,-40.19970486787318",library,671,marble,tray,paint,recessed,luxury,177542,residential,
54,"https://maps.google.com/?q=-20.657119137697904,152.50642743072348",library,1216,marble,beam,stone cladding,recessed,high,491008,residential,
55,"https://maps.google.com/?q=13.147167828830476,-34.20861807032469",office,3658,marble,custom,wood paneling,cool white,medium,224077,,bohemian
56,"https://maps.google.com/?q=-29.2791911150383,-37.91956770441894",shop,2261,concrete,custom,paint,recessed,low,520742,industrial,
57,"https://maps.google.com/?q=0.3588304757203957,-60.62406564752533",entryway,4751,marble,tray,paint,daylight,high,96741,,vintage
58,"https://maps.google.com/?q=-52.89045444168603,145.58719130119783",laundry room,3079,concrete,beam,wallpaper,pendant,low,192486,landscaping,
59,"https://maps.google.com/?q=-8.845858066452607,-14.587741900687377",bathroom,4302,marble,flat,wood paneling,daylight,high,583365,commercial,
60,"https://maps.google.com/?q=62.79533164797613,153.10254014394684",gym,4651,concrete,custom,wallpaper,recessed,luxury,200559,,classic
61,"https://maps.google.com/?q=-20.085517798889853,-167.48328379769112",bathroom,640,concrete,tray,wallpaper,cool white,high,90919,,vintage
62,"https://maps.google.com/?q=33.87513023028491,-37.43330954981866",home theater,4936,vinyl,vaulted,stone cladding,pendant,medium,571778,,industrial
63,"https://maps.google.com/?q=7.801690663627241,-141.33324862810048",gym,2457,tile,custom,paint,pendant,medium,52027,,bohemian
64,"https://maps.google.com/?q=8.102682593327017,-77.62787064011364",balcony,2546,laminate,tray,paint,cool white,medium,552952,,industrial
65,"https://maps.google.com/?q=87.4021686157343,-10.936183051976599",kitchen,2228,wooden,tray,wood paneling,recessed,high,85174,renovation,
66,"https://maps.google.com/?q=27.285417334211857,-75.77629212718865",balcony,1154,concrete,custom,wallpaper,pendant,low,315174,residential,
67,"https://maps.google.com/?q=-78.32816255384543,-44.491376041001786",terrace,2727,wooden,tray,paint,chandelier,low,419021,commercial,
68,"https://maps.google.com/?q=65.88596697058313,-134.59235685141502",balcony,3917,laminate,vaulted,paint,chandelier,low,189064,commercial,
69,"https://maps.google.com/?q=6.013599518120387,103.70269453398782",study,2630,laminate,tray,stone cladding,pendant,high,516659,,rustic
70,"https://maps.google.com/?q=-51.79142417780277,-162.0334878465513",office,3520,wooden,vaulted,tiles,pendant,low,189394,,transitional
71,"https://maps.google.com/?q=-57.9390721792414,-29.553061049427185",home theater,1381,tile,tray,tiles,cool white,medium,210361,,industrial
72,"https://maps.google.com/?q=-19.618255236871306,56.66817683887638",living room,2562,marble,flat,wallpaper,recessed,medium,335109,,modern
73,"https://maps.google.com/?q=-58.842091226996814,76.26946336204753",gym,2706,wooden,tray,wood paneling,cool white,medium,454829,industrial,
74,"https://maps.google.com/?q=26.503511181353034,-9.31216288906117",library,2624,wooden,flat,wallpaper,cool white,low,291164,,classic
75,"https://maps.google.com/?q=59.259312316338224,-104.00718882708588",office,4749,tile,vaulted,wallpaper,warm white,low,586557,,scandinavian
76,"https://maps.google.com/?q=-57.047920632659995,-136.50923265782882",playroom,975,vinyl,beam,stone cladding,daylight,luxury,158102,,industrial
77,"https://maps.google.com/?q=-80.52639474429031,-6.747466416040538",entryway,2662,laminate,custom,paint,cool white,luxury,489125,infrastructure,
78,"https://maps.google.com/?q=11.062461677685334,19.345119048216787",library,893,marble,flat,wood paneling,recessed,luxury,122657,industrial,
79,"https://maps.google.com/?q=38.95398344977781,-76.29553725023096",laundry room,3265,laminate,custom,wallpaper,warm white,high,82275,,transitional
80,"https://maps.google.com/?q=-49.0478407539916,171.28787447247237",shop,3580,concrete,vaulted,wallpaper,recessed,high,451931,renovation,
81,"https://maps.google.com/?q=18.227460632853706,-72.20053462256995",bedroom,2715,wooden,tray,wood paneling,pendant,low,218690,,transitional
82,"https://maps.google.com/?q=-21.257891852465505,-11.007109523918729",study,1902,tile,beam,paint,warm white,medium,409144,industrial,
83,"https://maps.google.com/?q=-4.116332308406214,38.861782484879114",library,3067,tile,custom,tiles,warm white,high,251123,,contemporary
84,"https://maps.google.com/?q=-37.382312309583206,-89.18215453317337",bedroom,2119,marble,beam,stone cladding,cool white,low,527508,,contemporary
85,"https://maps.google.com/?q=-59.18479146120845,106.08746233666608",living room,4048,tile,tray,tiles,chandelier,low,216545,,classic
86,"https://maps.google.com/?q=-23.25916490472045,44.527308032503214",bathroom,2003,concrete,flat,tiles,daylight,high,215005,renovation,
87,"https://maps.google.com/?q=-15.703591453483881,-69.82632714669774",entryway,4913,wooden,custom,paint,cool white,luxury,420251,,vintage
88,"https://maps.google.com/?q=88.0880406089386,-146.20408392452762",garage,664,concrete,beam,stone cladding,recessed,medium,485012,industrial,
89,"https://maps.google.com/?q=-59.95688748157109,-10.168843321859327",study,3607,marble,beam,stone cladding,daylight,medium,327939,commercial,
90,"https://maps.google.com/?q=-50.738238613202554,-112.92834495613175",entryway,807,tile,vaulted,wood paneling,cool white,low,57185,,contemporary
91,"https://maps.google.com/?q=18.627773488224094,-36.20291741846955",hall,530,concrete,flat,wallpaper,pendant,luxury,395437,,transitional
92,"https://maps.google.com/?q=11.196334337010256,-105.48024419001902",garage,2665,tile,tray,wallpaper,chandelier,high,210417,,transitional
93,"https://maps.google.com/?q=-32.353169826532756,24.024775972886147",library,2452,marble,flat,tiles,cool white,low,494081,,modern
94,"https://maps.google.com/?q=-58.80804559335712,31.65252515272735",living room,1487,laminate,vaulted,paint,chandelier,low,481400,landscaping,
95,"https://maps.google.com/?q=47.89094073066903,-80.67420211954831",entryway,722,tile,tray,tiles,warm white,medium,69250,,modern
96,"https://maps.google.com/?q=42.48501532298104,172.71056625548317",entryway,1993,marble,tray,wallpaper,daylight,luxury,520794,,arabic
97,"https://maps.google.com/?q=-6.692471955514449,-22.262103161484447",terrace,3689,wooden,tray,paint,pendant,medium,374032,infrastructure,
98,"https://maps.google.com/?q=9.616787657204185,-29.69727328251045",kitchen,3013,vinyl,custom,stone cladding,warm white,low,318923,,art deco
99,"https://maps.google.com/?q=49.32195087761113,62.41503201313941",office,4864,tile,tray,wood paneling,warm white,luxury,450523,residential,
100,"https://maps.google.com/?q=28.97955232972815,154.7804465210159",bedroom,2535,concrete,beam,wallpaper,daylight,low,85078,infrastructure,
101,"https://maps.google.com/?q=-26.22475287516339,172.1868603469651",hall,4145,laminate,flat,stone cladding,daylight,medium,98196,renovation,
102,"https://maps.google.com/?q=2.7727264359601804,-79.41688242075371",kitchen,1161,vinyl,beam,tiles,pendant,high,427905,,rustic
103,"https://maps.google.com/?q=-32.94491233883667,-143.79430087231742",bathroom,3097,laminate,vaulted,tiles,pendant,low,233845,,industrial
104,"https://maps.google.com/?q=-7.71003214129378,121.64658341117496",study,3407,vinyl,flat,tiles,chandelier,luxury,443570,industrial,
105,"https://maps.google.com/?q=4.869892719860815,-38.52320433958619",shop,2194,laminate,vaulted,wood paneling,warm white,medium,191549,residential,
106,"https://maps.google.com/?q=67.21508934969845,32.351733960086136",library,2360,concrete,tray,paint,cool white,high,452206,industrial,
107,"https://maps.google.com/?q=20.69921773744545,26.82703897616426",hall,526,concrete,tray,wood paneling,chandelier,low,476390,,vintage
108,"https://maps.google.com/?q=-26.56167371792769,130.56562637233577",playroom,2187,tile,vaulted,tiles,daylight,low,182714,infrastructure,
109,"https://maps.google.com/?q=0.1346903707614615,-154.58511647277643",hall,2260,wooden,vaulted,wood paneling,warm white,medium,263643,,minimalist
110,"https://maps.google.com/?q=63.12511021492688,-30.190283036369067",balcony,1536,concrete,beam,wood paneling,pendant,medium,163341,,scandinavian
111,"https://maps.google.com/?q=-88.8149786578107,-172.4332999735846",bathroom,3347,laminate,vaulted,tiles,pendant,high,537648,,transitional
112,"https://maps.google.com/?q=37.84943812808511,-83.42289517110511",study,3487,tile,tray,wood paneling,warm white,low,385711,,rustic
113,"https://maps.google.com/?q=-56.21602848064164,134.47622529122606",hall,1965,marble,tray,wallpaper,daylight,low,310050,landscaping,
114,"https://maps.google.com/?q=49.75673949384094,-83.15740162839563",office,1441,vinyl,tray,stone cladding,cool white,low,242678,residential,
115,"https://maps.google.com/?q=48.194057429123205,-38.57570771220503",office,1591,wooden,vaulted,stone cladding,warm white,luxury,207216,industrial,
116,"https://maps.google.com/?q=-17.46225397087686,145.26591233184104",garage,4711,marble,vaulted,tiles,warm white,high,441145,,vintage
117,"https://maps.google.com/?q=81.62074211580344,55.65845296260727",bathroom,4778,tile,custom,wood paneling,warm white,high,208383,,vintage
118,"https://maps.google.com/?q=-77.79381926035734,51.81897059275616",laundry room,3046,laminate,vaulted,wallpaper,daylight,medium,417304,commercial,
119,"https://maps.google.com/?q=54.34299214391896,100.16402229359022",hall,1727,marble,flat,paint,pendant,low,116824,renovation,
120,"https://maps.google.com/?q=22.276834212794796,-165.38890013499423",playroom,3475,tile,custom,wood paneling,daylight,high,539198,renovation,
121,"https://maps.google.com/?q=-46.67839129605418,4.510895036237173",gym,2555,marble,vaulted,wallpaper,daylight,luxury,314384,,classic
122,"https://maps.google.com/?q=17.103659612591983,124.80526278887515",office,3668,vinyl,vaulted,wood paneling,pendant,high,277811,,minimalist
123,"https://maps.google.com/?q=25.169411617950644,63.34016623102423",bedroom,3751,laminate,vaulted,wallpaper,recessed,high,142954,landscaping,
124,"https://maps.google.com/?q=-85.73634967688685,33.51644111476773",home theater,2841,marble,tray,wood paneling,cool white,medium,203476,residential,
125,"https://maps.google.com/?q=-80.92005507523267,2.456586357446696",entryway,2362,tile,beam,wood paneling,chandelier,luxury,431721,industrial,
126,"https://maps.google.com/?q=5.320195669954018,-3.0222239482512805",balcony,3066,laminate,vaulted,stone cladding,pendant,luxury,450565,renovation,
127,"https://maps.google.com/?q=-5.494187223302717,-57.04656843866735",kitchen,1368,marble,tray,tiles,daylight,luxury,299053,commercial,
128,"https://maps.google.com/?q=-8.248750710270045,30.767017446650414",balcony,1640,concrete,custom,stone cladding,cool white,medium,144477,,modern
129,"https://maps.google.com/?q=25.29493480007777,149.17289419176655",laundry room,970,laminate,vaulted,wood paneling,daylight,high,298666,landscaping,
130,"https://maps.google.com/?q=-46.61931038586798,-178.91290152655858",gym,3659,concrete,flat,paint,pendant,low,119013,renovation,
131,"https://maps.google.com/?q=16.950980610206187,-170.07395599172025",shop,503,marble,beam,stone cladding,daylight,low,270832,residential,
132,"https://maps.google.com/?q=62.084105137598414,33.50260528747219",library,2063,tile,vaulted,tiles,recessed,low,327381,landscaping,
133,"https://maps.google.com/?q=83.83449976568119,22.519455126217224",bathroom,3361,vinyl,custom,wallpaper,pendant,medium,267711,,arabic
134,"https://maps.google.com/?q=-70.74457110468944,97.3205728522446",study,2977,marble,tray,stone cladding,warm white,high,451352,infrastructure,
135,"https://maps.google.com/?q=-88.87045990600662,68.27102643521212",study,3458,marble,custom,paint,cool white,low,457581,,scandinavian
136,"https://maps.google.com/?q=-18.275667625223505,-52.37354336833023",balcony,3599,concrete,tray,tiles,recessed,high,312159,industrial,
137,"https://maps.google.com/?q=61.19002585356523,-84.0059375369905",garage,1394,vinyl,vaulted,paint,cool white,low,82274,,industrial
138,"https://maps.google.com/?q=12.018369298134573,35.226106148894786",balcony,3411,marble,custom,stone cladding,pendant,low,592586,industrial,
139,"https://maps.google.com/?q=74.28721592544775,103.5462192678151",library,4517,concrete,custom,paint,pendant,luxury,239578,infrastructure,
140,"https://maps.google.com/?q=-24.281314697020676,164.57389751815322",study,4442,marble,flat,tiles,chandelier,high,119549,industrial,
141,"https://maps.google.com/?q=-29.889137329316704,174.44539524141345",library,4744,wooden,flat,wood paneling,warm white,low,287428,,bohemian
142,"https://maps.google.com/?q=19.64241355733867,67.7132667500162",living room,1581,tile,tray,paint,recessed,high,542348,,contemporary
143,"https://maps.google.com/?q=-23.082085993835705,79.33985050448268",entryway,2044,wooden,vaulted,wallpaper,warm white,low,586292,,minimalist
144,"https://maps.google.com/?q=71.5408372469434,95.53863800186787",balcony,922,tile,beam,tiles,recessed,luxury,513076,,vintage
145,"https://maps.google.com/?q=-56.708993593007854,80.24831262582711",garage,956,wooden,flat,wallpaper,cool white,medium,598844,,scandinavian
146,"https://maps.google.com/?q=35.76941359432199,-71.66295848770865",terrace,1271,concrete,tray,paint,recessed,medium,582634,,rustic
147,"https://maps.google.com/?q=-52.64260267420391,137.88915547833489",entryway,952,laminate,flat,paint,warm white,low,191700,industrial,
148,"https://maps.google.com/?q=-78.630302941142,-83.41271614429391",playroom,2918,concrete,custom,stone cladding,pendant,luxury,60512,,classic
149,"https://maps.google.com/?q=-68.83447202284503,14.952391971393496",home theater,1306,tile,custom,paint,daylight,medium,376178,,bohemian
150,"https://maps.google.com/?q=-26.230397091471517,-127.35351388915541",playroom,4382,concrete,tray,tiles,warm white,medium,293275,residential,
151,"https://maps.google.com/?q=-86.0324301289212,-122.70513291500176",laundry room,2740,laminate,vaulted,tiles,warm white,luxury,284538,,minimalist
152,"https://maps.google.com/?q=-53.07397892409248,-78.25435952434732",kitchen,2292,marble,tray,tiles,pendant,low,579690,renovation,
153,"https://maps.google.com/?q=-66.32396126379945,8.501522455355428",gym,1782,wooden,beam,wood paneling,chandelier,low,174082,,mid-century
154,"https://maps.google.com/?q=-72.43542390037447,-163.064427637881",kitchen,1855,wooden,custom,tiles,chandelier,luxury,385680,industrial,
155,"https://maps.google.com/?q=1.3251161815863952,176.83372267398806",laundry room,2147,concrete,vaulted,wood paneling,warm white,low,260673,,rustic
156,"https://maps.google.com/?q=-49.3321466709615,-68.06376008873104",balcony,4582,wooden,vaulted,wood paneling,daylight,high,192406,renovation,
157,"https://maps.google.com/?q=75.58967364589455,-92.09257299415292",garage,1021,marble,custom,tiles,daylight,low,95509,commercial,
158,"https://maps.google.com/?q=-30.857618880931255,44.86170253525921",terrace,2314,wooden,vaulted,wood paneling,pendant,high,439510,commercial,
159,"https://maps.google.com/?q=-85.86776027472402,-179.61263169730188",balcony,1540,marble,vaulted,paint,warm white,medium,556191,industrial,
160,"https://maps.google.com/?q=-50.06532997902729,177.52488550713906",shop,4396,laminate,custom,stone cladding,daylight,medium,397349,,modern
161,"https://maps.google.com/?q=-51.39326592695651,-65.4050854438174",balcony,2048,tile,custom,wallpaper,daylight,high,397500,industrial,
162,"https://maps.google.com/?q=-43.99658666817324,28.331530853835687",home theater,1607,laminate,tray,stone cladding,cool white,low,79592,landscaping,
163,"https://maps.google.com/?q=0.8624220845607482,72.71179787216977",office,4042,vinyl,vaulted,wallpaper,recessed,medium,555315,,classic
164,"https://maps.google.com/?q=60.17698444701034,-8.51886056638483",library,3261,concrete,vaulted,wood paneling,recessed,high,425716,,arabic
165,"https://maps.google.com/?q=-0.21756511630923114,-87.07590661504986",kitchen,2366,vinyl,tray,wood paneling,daylight,medium,143788,infrastructure,
166,"https://maps.google.com/?q=1.8366342827088715,-89.00964814321424",garage,3141,marble,custom,tiles,pendant,luxury,95028,commercial,
167,"https://maps.google.com/?q=-82.01821170128486,-65.60518786268842",laundry room,4983,concrete,vaulted,wallpaper,warm white,medium,359782,commercial,
168,"https://maps.google.com/?q=64.71487671832455,-62.3622609924719",office,2113,marble,custom,wood paneling,warm white,medium,233592,,scandinavian
169,"https://maps.google.com/?q=-83.52588857131553,159.4069192060863",laundry room,1881,vinyl,beam,wood paneling,warm white,medium,387973,industrial,
170,"https://maps.google.com/?q=26.400105964818593,74.41901011376456",home theater,953,concrete,flat,stone cladding,daylight,low,378979,commercial,
171,"https://maps.google.com/?q=23.669066118350173,60.011495031390496",balcony,848,marble,beam,tiles,daylight,luxury,526977,,mid-century
172,"https://maps.google.com/?q=69.81720977663053,-170.78870868565753",office,2134,marble,beam,wood paneling,chandelier,high,65083,,transitional
173,"https://maps.google.com/?q=-74.83070631994343,-78.3464545847211",bedroom,1324,tile,flat,paint,daylight,low,493512,,scandinavian
174,"https://maps.google.com/?q=89.91930115517584,-7.051936170626476",office,2064,marble,custom,paint,chandelier,low,56595,renovation,
175,"https://maps.google.com/?q=79.90307932901754,167.42871439197364",garage,3672,marble,flat,stone cladding,warm white,high,500478,commercial,
176,"https://maps.google.com/?q=-9.855805077621,-130.8388049366672",garage,2388,wooden,custom,wallpaper,pendant,low,301213,renovation,
177,"https://maps.google.com/?q=66.87908556199883,4.451570528515788",laundry room,4797,marble,flat,wood paneling,recessed,high,70845,,minimalist
178,"https://maps.google.com/?q=72.83992697653537,-166.04612068867817",balcony,4967,marble,vaulted,stone cladding,pendant,luxury,331430,,scandinavian
179,"https://maps.google.com/?q=42.151082054711964,-78.58131300428562",bathroom,2047,marble,flat,stone cladding,cool white,medium,377631,infrastructure,
180,"https://maps.google.com/?q=-85.47689616039104,-170.67648597733017",shop,1354,laminate,vaulted,tiles,pendant,luxury,121786,renovation,
181,"https://maps.google.com/?q=45.551327574000425,-57.30722272923575",garage,1065,concrete,vaulted,paint,chandelier,high,310963,industrial,
182,"https://maps.google.com/?q=79.867061566724,-93.92820675077405",home theater,3474,marble,flat,wallpaper,recessed,high,599064,commercial,
183,"https://maps.google.com/?q=41.28458299301434,-96.54705398062825",home theater,1182,marble,custom,wallpaper,chandelier,low,103500,landscaping,
184,"https://maps.google.com/?q=-83.84082647256353,103.37211764411802",gym,4467,vinyl,tray,paint,daylight,luxury,384414,residential,
185,"https://maps.google.com/?q=70.3241844550322,20.15272007291091",balcony,1568,tile,flat,wood paneling,recessed,low,559492,,scandinavian
186,"https://maps.google.com/?q=-56.7808045849465,177.8829237712187",library,1630,marble,tray,wood paneling,pendant,high,178029,renovation,
187,"https://maps.google.com/?q=42.40110491965373,-172.69565191665993",balcony,4069,tile,custom,wood paneling,pendant,low,352641,,vintage
188,"https://maps.google.com/?q=63.77139744800763,-130.9111712931849",office,3752,concrete,beam,paint,warm white,low,286253,commercial,
189,"https://maps.google.com/?q=70.710050784023,104.44470912355962",gym,1390,tile,vaulted,tiles,warm white,medium,497129,,rustic
190,"https://maps.google.com/?q=-78.4827114179855,73.77063064295837",kitchen,1431,concrete,beam,wallpaper,chandelier,luxury,288850,,modern
191,"https://maps.google.com/?q=13.41992824195276,-27.778015579431298",laundry room,971,marble,tray,tiles,chandelier,low,403328,,scandinavian
192,"https://maps.google.com/?q=-38.158253319323876,-71.1723046780561",garage,1116,vinyl,tray,wallpaper,daylight,high,212297,industrial,
193,"https://maps.google.com/?q=4.218357823339431,139.05051601358747",entryway,4135,laminate,vaulted,tiles,warm white,medium,71864,,arabic
194,"https://maps.google.com/?q=71.61353983985396,-113.69179730669427",garage,662,tile,vaulted,stone cladding,chandelier,low,480943,,minimalist
195,"https://maps.google.com/?q=40.50465417742532,145.2744586812962",office,2415,laminate,flat,wood paneling,daylight,medium,269423,residential,
196,"https://maps.google.com/?q=5.869912533799479,70.50428760993736",hall,4282,concrete,tray,wood paneling,chandelier,luxury,336141,,scandinavian
197,"https://maps.google.com/?q=-1.4760552449728266,107.3015097460019",study,2566,marble,vaulted,wallpaper,chandelier,high,50721,landscaping,
198,"https://maps.google.com/?q=-70.44442142354482,104.92934769240327",home theater,1399,wooden,vaulted,stone cladding,pendant,low,143637,landscaping,
199,"https://maps.google.com/?q=6.749355390182288,154.46118961499843",kitchen,2927,concrete,flat,wood paneling,recessed,luxury,315454,,art deco
200,"https://maps.google.com/?q=28.803573178133007,58.139425279532446",bathroom,2720,wooden,vaulted,paint,cool white,luxury,246015,infrastructure,
201,"https://maps.google.com/?q=57.53837262390317,132.88154933193488",office,855,wooden,custom,stone cladding,daylight,medium,401963,,bohemian
202,"https://maps.google.com/?q=-42.26251502279388,63.39258968371354",entryway,3785,laminate,beam,stone cladding,chandelier,high,435716,commercial,
203,"https://maps.google.com/?q=89.17397002971401,-23.96182030215894",bedroom,4609,laminate,vaulted,stone cladding,warm white,high,295382,renovation,
204,"https://maps.google.com/?q=-66.56175178986632,10.518308299956686",office,3069,marble,tray,tiles,recessed,luxury,352373,landscaping,
205,"https://maps.google.com/?q=10.527353564055076,113.77558163727605",study,714,vinyl,tray,wallpaper,cool white,low,267314,,mid-century
206,"https://maps.google.com/?q=34.334545588360996,15.905182609588167",balcony,2389,concrete,vaulted,wood paneling,warm white,low,429907,infrastructure,
207,"https://maps.google.com/?q=-86.92017516020073,-80.39749433876244",balcony,3516,laminate,tray,tiles,cool white,medium,246942,,transitional
208,"https://maps.google.com/?q=-25.38199206537925,143.96346757832816",entryway,4435,marble,beam,wood paneling,daylight,medium,245396,,art deco
209,"https://maps.google.com/?q=-58.301924769823344,-162.7684524489166",shop,1982,tile,beam,paint,recessed,high,170908,,minimalist
210,"https://maps.google.com/?q=-20.844333476266726,109.40873031699806",balcony,2262,wooden,vaulted,tiles,chandelier,luxury,169575,renovation,
